ITEM_NUM;ID_PRO;ID_NOTA;ID_SEC;QTD_PRO;PRE_UNIT;TOTAL_ITEM;EST_LIN
1;2059;2681;3;520;2,95;1534;0
1;2059;2774;3;50;3,29;164,5;0
1;2059;2777;3;150;3,29;493,5;0
1;2059;2952;3;1210;3,35;4053,5;0
1;2059;2985;3;1190;3,35;3986,5;0
1;2138;2163;3;1;45;45;0
1;2138;2996;3;1;75;75;0
1;2172;2545;3;100;5,59;559;0
1;2172;2547;3;120;5,59;670,8;0
1;2172;2792;3;200;2,9;580;0
1;2229;2342;1;1;446922,23;446922,23;0
1;2229;2343;1;1;50944,24;50944,24;0
1;2229;2358;1;1;36775,87;36775,87;0
1;2229;2359;1;1;459;459;0
1;2229;2375;1;1;53620,89;53620,89;0
1;2229;2397;1;1;68427,19;68427,19;0
1;2229;2402;1;1;15080,55;15080,55;0
1;2229;2413;1;1;40629,57;40629,57;0
1;2229;2426;1;1;45054,76;45054,76;0
1;2229;2442;3;1;49579,25;49579,25;0
1;2229;2448;3;1;450;450;0
1;2229;2480;3;1;43802,43;43802,43;0
1;2229;2505;3;1;19650,93;19650,93;0
1;2229;2506;6;1;12788,39;12788,39;0
1;2229;2507;4;1;2488,2;2488,2;0
1;2229;2508;1;1;5390,56;5390,56;0
1;2229;2531;6;1;15985,5;15985,5;0
1;2229;2532;1;1;7364,89;7364,89;0
1;2229;2533;3;1;25509,16;25509,16;0
1;2229;2561;3;1;25620,93;25620,93;0
1;2229;2562;1;1;3942,03;3942,03;0
1;2229;2563;6;1;15984,17;15984,17;0
1;2229;2589;1;1;6998,66;6998,66;0
1;2229;2596;6;1;16950,44;16950,44;0
1;2229;2597;3;1;19433,46;19433,46;0
1;2229;2625;1;1;8933,6;8933,6;0
1;2229;2626;6;1;17389,77;17389,77;0
1;2229;2627;3;1;32241,91;32241,91;0
1;2229;2648;1;1;6903,37;6903,37;0
1;2229;2649;6;1;9259,14;9259,14;0
1;2229;2650;3;1;30030,5;30030,5;0
1;2229;2682;3;1;23426,08;23426,08;0
1;2229;2683;6;1;15440,56;15440,56;0
1;2229;2684;1;1;8887,41;8887,41;0
1;2229;2686;1;1;6428,58;6428,58;0
1;2229;2697;3;1;13647,25;13647,25;0
1;2229;2698;6;1;3791,64;3791,64;0
1;2229;2709;3;1;16556,59;16556,59;0
1;2229;2725;6;1;17465,73;17465,73;0
1;2229;2726;1;1;8575,33;8575,33;0
1;2229;2735;1;1;9995,69;9995,69;0
1;2229;2736;3;1;27453,21;27453,21;0
1;2229;2737;4;1;3444,14;3444,14;0
1;2229;2738;6;1;20403,47;20403,47;0
1;2229;2762;3;1;23943,7;23943,7;0
1;2229;2763;1;1;6430,62;6430,62;0
1;2229;2764;6;1;7000;7000;0
1;2229;2765;5;1;6000;6000;0
1;2229;2766;6;1;7880;7880;0
1;2229;2767;3;1;1920;1920;0
1;2229;2787;1;1;8764,17;8764,17;0
1;2229;2788;3;1;29308,19;29308,19;0
1;2229;2789;6;1;17592,21;17592,21;0
1;2229;2790;4;1;3089,78;3089,78;0
1;2229;2814;1;1;65043,02;65043,02;0
1;2229;2842;3;1;23687;23687;0
1;2229;2843;1;1;7228,16;7228,16;0
1;2229;2844;4;1;3287;3287;0
1;2229;2845;6;1;19408,49;19408,49;0
1;2229;2861;3;1;28250,15;28250,15;0
1;2229;2862;4;1;2212,25;2212,25;0
1;2229;2863;1;1;7355,28;7355,28;0
1;2229;2864;6;1;20815,31;20815,31;0
1;2229;2901;1;1;13661,09;13661,09;0
1;2229;2903;6;1;20579,72;20579,72;0
1;2229;2904;4;1;3448,26;3448,26;0
1;2229;2905;3;1;39008,16;39008,16;0
1;2229;2928;1;1;6286,18;6286,18;0
1;2229;2929;4;1;2845,7;2845,7;0
1;2229;2930;3;1;26554,41;26554,41;0
1;2229;2931;6;1;20782,67;20782,67;0
1;2229;2960;3;1;33435,72;33435,72;0
1;2229;2961;1;1;9361,26;9361,26;0
1;2229;2962;4;1;3327,09;3327,09;0
1;2229;2963;6;1;15406,6;15406,6;0
1;2229;2998;4;1;7651,43;7651,43;0
1;2229;2999;3;1;29550,7;29550,7;0
1;2229;3000;4;1;898,11;898,11;0
1;2229;3001;1;1;7651,43;7651,43;0
1;2229;3002;6;1;21804,48;21804,48;0
1;2234;2070;3;1;280;280;0
1;2241;2502;4;1;258;258;0
1;2252;2516;3;2;238;476;0
1;2252;2751;3;1;238;238;0
1;2305;2694;3;80;18,81;1504,8;0
1;2305;2876;3;40;19,9;796;0
1;2314;2619;6;8;72;576;0
1;2374;2274;6;20;26;520;0
1;2467;2544;3;400;2,69;1076;0
1;2483;2721;6;1;100;100;0
1;2490;2945;3;100;0,5;50;0
1;2492;2541;3;20;3;60;0
1;2492;2575;3;20;3;60;0
1;2648;2314;3;1;270;270;0
1;2727;2980;3;5;15;75;0
1;2867;2701;1;100;8,7;870;0
1;2867;2724;4;80;8,7;696;0
1;2867;2988;1;100;9,9;990;0
1;2870;2707;3;15;27;405;0
1;2895;2616;6;30;68,9;2067;0
1;3012;2243;6;1;11;11;0
1;3037;2586;3;20;145;2900;0
1;3037;2699;1;5;159;795;0
1;3037;2708;3;10;160;1600;0
1;3037;2942;1;1;219;219;0
1;3178;2608;3;300;5,59;1677;0
1;3189;2968;3;3000;2;6000;1750
1;3196;2213;3;100;10;1000;0
1;3196;2370;3;40;18;720;0
1;3225;2326;3;2;5,5;11;0
1;3238;2037;3;5;5,2;26;0
1;3257;2040;6;1;280;280;0
1;3257;2645;4;1;300;300;0
1;3257;2714;6;1;420;420;0
1;3272;2518;3;2;130;260;0
1;3280;2349;1;60;1,6;96;0
1;3365;2615;3;1;34;34;0
1;3373;2242;1;40;2,99;119,6;0
1;3375;2509;3;180;1,69;304,2;0
1;3375;2510;3;60;1,69;101,4;0
1;3375;2550;3;150;1,69;253,5;0
1;3375;2603;3;120;1,69;202,8;0
1;3375;2647;3;300;1,69;507;0
1;3375;2746;3;180;2,33;419,4;0
1;3375;2754;3;60;2,33;139,8;0
1;3375;2755;3;60;2,33;139,8;0
1;3375;2783;3;150;2,33;349,5;0
1;3375;2784;3;150;2,33;349,5;0
1;3375;2791;3;150;2,33;349,5;0
1;3375;2794;3;180;2,33;419,4;0
1;3375;2797;3;108;2,33;251,64;0
1;3375;2829;3;90;2,33;209,7;0
1;3375;2859;3;120;2,33;279,6;0
1;3375;2884;3;120;2,33;279,6;0
1;3375;2909;3;60;2,33;139,8;0
1;3375;2912;3;90;2,33;209,7;0
1;3375;2964;3;30;2,33;69,9;30
1;3480;2759;6;2;400;800;0
1;3480;2803;6;1;350;350;0
1;3529;2833;6;64;1,29;82,56;0
1;3540;2479;3;40;3;120;0
1;3540;2676;3;50;3;150;0
1;3540;2921;3;10;2,85;28,5;0
1;3540;2940;3;10;2,85;28,5;0
1;3540;2947;3;10;2,85;28,5;0
1;3547;2873;6;4;8,29;33,16;0
1;3549;2287;1;24;2,45;58,8;0
1;3549;2953;6;82;2,65;217,3;0
1;3550;2364;6;20;2,45;49;0
1;3550;2365;1;20;2,45;49;0
1;3574;2319;1;90;1,6;144;0
1;3574;2733;1;30;2,45;73,5;0
1;3593;2740;1;2500;0,99;2475;0
1;3656;2418;6;48;8;384;0
1;3696;2972;6;1;140;140;0
1;3725;2607;3;140;5,59;782,6;0
