ID_MOVI;ID_PRO;ID_SEC;ID_REQ;ID_NOTA;PRE_UNIT;QTD_PRO;SALDO;EST_ANT;TIPO_MOV;MES_MOV;ANO_MOV;DATA_MOV;ID_SET
15441;5639;3;;1249;11,8;5;5;0;0;2;2010;05/02/2010;
15442;5640;3;;1249;11,2;10;10;0;0;2;2010;05/02/2010;
15443;5641;3;;1249;4;5;5;0;0;2;2010;05/02/2010;
15444;5642;3;;1249;2,5;75;75;0;0;2;2010;05/02/2010;
15445;5643;3;;1249;3;75;75;0;0;2;2010;05/02/2010;
15446;5644;3;;1249;1,1;75;75;0;0;2;2010;05/02/2010;
15447;5645;3;;1249;47,6;5;5;0;0;2;2010;05/02/2010;
15448;5646;3;;1249;2,18;25;25;0;0;2;2010;05/02/2010;
15449;5276;3;1194;;11;10;0;10;-1;2;2010;05/02/2010;4
15450;5277;3;1194;;3,8;10;0;10;-1;2;2010;05/02/2010;4
15451;5598;3;1194;;3,9;1;0;1;-1;2;2010;05/02/2010;4
15452;5599;3;1194;;1,1;67;0;67;-1;2;2010;05/02/2010;4
15453;5600;3;1194;;1,1;50;0;50;-1;2;2010;05/02/2010;4
15454;5601;3;1194;;2,98;50;0;50;-1;2;2010;05/02/2010;4
15455;5602;3;1194;;0,63;250;0;250;-1;2;2010;05/02/2010;4
15456;5603;3;1194;;0,63;50;0;50;-1;2;2010;05/02/2010;4
15457;5604;3;1194;;0,7;250;0;250;-1;2;2010;05/02/2010;4
15458;5605;3;1194;;3,8;10;0;10;-1;2;2010;05/02/2010;4
15459;5606;3;1194;;0,2;400;0;400;-1;2;2010;05/02/2010;4
15460;5607;3;1194;;165;2;0;2;-1;2;2010;05/02/2010;4
15461;5608;3;1194;;1,45;50;0;50;-1;2;2010;05/02/2010;4
15462;5450;3;1194;;1,26;500;0;500;-1;2;2010;05/02/2010;4
15463;5610;3;1194;;1,5;5;0;5;-1;2;2010;05/02/2010;4
15464;5611;3;1194;;13;5;0;5;-1;2;2010;05/02/2010;4
15465;5612;3;1194;;14;15;0;15;-1;2;2010;05/02/2010;4
15466;5268;3;1194;;19;5;0;5;-1;2;2010;05/02/2010;4
15467;5614;3;1194;;2;150;0;150;-1;2;2010;05/02/2010;4
15468;5615;3;1194;;3,7;100;0;100;-1;2;2010;05/02/2010;4
15469;5616;3;1194;;0,7;250;0;250;-1;2;2010;05/02/2010;4
15470;5617;3;1194;;19;10;0;10;-1;2;2010;05/02/2010;4
15471;5618;3;1194;;0,58;150;0;150;-1;2;2010;05/02/2010;4
15472;5619;3;1194;;1,6;150;0;150;-1;2;2010;05/02/2010;4
15473;5620;3;1194;;21,2;7;0;7;-1;2;2010;05/02/2010;4
15474;5621;3;1194;;1,3;25;0;25;-1;2;2010;05/02/2010;4
15475;5622;3;1194;;1,6;25;0;25;-1;2;2010;05/02/2010;4
15476;5623;3;1194;;34;10;0;10;-1;2;2010;05/02/2010;4
15477;5624;3;1194;;18;5;0;5;-1;2;2010;05/02/2010;4
15478;5625;3;1194;;15;15;0;15;-1;2;2010;05/02/2010;4
15479;5626;3;1194;;1,15;10;0;10;-1;2;2010;05/02/2010;4
15480;5627;3;1194;;0,77;150;0;150;-1;2;2010;05/02/2010;4
15481;5628;3;1194;;1,1;150;0;150;-1;2;2010;05/02/2010;4
15482;5629;3;1194;;6,79;10;0;10;-1;2;2010;05/02/2010;4
15483;5630;3;1194;;0,43;50;0;50;-1;2;2010;05/02/2010;4
15484;5631;3;1194;;1;50;0;50;-1;2;2010;05/02/2010;4
15485;5632;3;1194;;4,6;10;0;10;-1;2;2010;05/02/2010;4
15486;5633;3;1194;;0,23;500;0;500;-1;2;2010;05/02/2010;4
15487;5634;3;1194;;0,38;250;0;250;-1;2;2010;05/02/2010;4
15488;5635;3;1194;;0,95;250;0;250;-1;2;2010;05/02/2010;4
15489;5636;3;1194;;0,9;500;0;500;-1;2;2010;05/02/2010;4
15490;5637;3;1194;;9;25;0;25;-1;2;2010;05/02/2010;4
15491;5638;3;1194;;1;10;0;10;-1;2;2010;05/02/2010;4
15492;5639;3;1194;;11,8;5;0;5;-1;2;2010;05/02/2010;4
15493;5640;3;1194;;11,2;10;0;10;-1;2;2010;05/02/2010;4
15494;5641;3;1194;;4;5;0;5;-1;2;2010;05/02/2010;4
15495;5642;3;1194;;2,5;75;0;75;-1;2;2010;05/02/2010;4
15496;5643;3;1194;;3;75;0;75;-1;2;2010;05/02/2010;4
15497;5644;3;1194;;1,1;75;0;75;-1;2;2010;05/02/2010;4
15498;5645;3;1194;;47,6;5;0;5;-1;2;2010;05/02/2010;4
15499;5646;3;1194;;2,18;25;0;25;-1;2;2010;05/02/2010;4
15500;5648;4;;1250;53,84;1;1;0;0;2;2010;17/02/2010;
15501;5649;4;;1250;17,7;1;1;0;0;2;2010;17/02/2010;
15502;5650;4;;1250;53,44;1;1;0;0;2;2010;17/02/2010;
15503;5651;4;;1250;31,42;1;1;0;0;2;2010;17/02/2010;
15504;5652;4;;1250;10,58;3;3;0;0;2;2010;17/02/2010;
15505;5653;4;;1250;108,93;1;1;0;0;2;2010;17/02/2010;
15506;5654;4;;1250;42,41;1;1;0;0;2;2010;17/02/2010;
15507;5655;4;;1250;14,53;3;3;0;0;2;2010;17/02/2010;
15508;5656;4;;1250;33,58;1;1;0;0;2;2010;17/02/2010;
15509;5657;4;;1250;69,96;1;1;0;0;2;2010;17/02/2010;
15510;5658;4;;1250;10,75;1;1;0;0;2;2010;17/02/2010;
15511;5659;4;;1250;11,03;2;2;0;0;2;2010;17/02/2010;
15512;5660;4;;1250;8,87;1;1;0;0;2;2010;17/02/2010;
15513;5648;4;1195;;53,84;1;0;1;-1;2;2010;17/02/2010;5
15514;5649;4;1195;;17,7;1;0;1;-1;2;2010;17/02/2010;5
15515;5650;4;1195;;53,44;1;0;1;-1;2;2010;17/02/2010;5
15516;5651;4;1195;;31,42;1;0;1;-1;2;2010;17/02/2010;5
15517;5652;4;1195;;10,58;3;0;3;-1;2;2010;17/02/2010;5
15518;5653;4;1195;;108,93;1;0;1;-1;2;2010;17/02/2010;5
15519;5654;4;1195;;42,41;1;0;1;-1;2;2010;17/02/2010;5
15520;5655;4;1195;;14,53;3;0;3;-1;2;2010;17/02/2010;5
15521;5656;4;1195;;33,58;1;0;1;-1;2;2010;17/02/2010;5
15522;5657;4;1195;;69,96;1;0;1;-1;2;2010;17/02/2010;5
15523;5658;4;1195;;10,75;1;0;1;-1;2;2010;17/02/2010;5
15524;5659;4;1195;;11,03;2;0;2;-1;2;2010;17/02/2010;5
15525;5660;4;1195;;8,87;1;0;1;-1;2;2010;17/02/2010;5
15526;5559;6;;1251;13;1;1;0;0;2;2010;19/02/2010;
15527;5560;6;;1251;95;2;2;0;0;2;2010;19/02/2010;
15528;5556;6;;1251;21;3;3;0;0;2;2010;19/02/2010;
15529;5563;6;;1251;3;1;1;0;0;2;2010;19/02/2010;
15530;5557;6;;1251;3,8;1;1;0;0;2;2010;19/02/2010;
15531;5558;6;;1251;1,75;2;2;0;0;2;2010;19/02/2010;
15532;5562;6;;1251;0,8;5;5;0;0;2;2010;19/02/2010;
15533;5662;6;;1251;6,5;2;2;0;0;2;2010;19/02/2010;
15534;5580;6;;1252;84,5;2;2;0;0;2;2010;05/02/2010;
15535;5581;6;;1252;84,5;2;2;0;0;2;2010;05/02/2010;
15536;5580;6;1196;;84,5;2;0;2;-1;2;2010;05/02/2010;7
15537;5581;6;1196;;84,5;2;0;2;-1;2;2010;05/02/2010;7
15538;5559;6;1197;;13;1;0;1;-1;2;2010;19/02/2010;7
15539;5560;6;1197;;95;2;0;2;-1;2;2010;19/02/2010;7
15540;5556;6;1197;;21;3;0;3;-1;2;2010;19/02/2010;7
15541;5563;6;1197;;3;1;0;1;-1;2;2010;19/02/2010;7
15542;5557;6;1197;;3,8;1;0;1;-1;2;2010;19/02/2010;7
